pokedex,name,japanese_name,chinese-name,classfication,type1,type2,abilities,percentage_male,height_m,weight_kg,base_total,hp,attack,defense,sp_attack,sp_defense,speed,base_happiness,capture_rate,generation,is_legendary,base_egg_steps,experience_growth,against_normal,against_fight,against_flying,against_poison,against_ground,against_rock,against_bug,against_ghost,against_steel,against_fire,against_water,against_grass,against_electric,against_psychic,against_ice,against_dragon,against_dark,against_fairy,img_url
403,Shinx,Kolink閵堢偨鍎堕妷鐐藉仐,灏忚矒鎬 / 灏忕尗鎬猉i菐om膩ogu脿i,Flash Pok鑼卪on,electric,,"['Rivalry', 'Intimidate', 'Guts']",50.0,0.5,9.5,263,45,65,34,40,34,45,70.0,235,4,0,5120,1059860,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/3/32/403Shinx.png/600px-403Shinx.png
404,Luxio,Luxio閵夊仐閵堟灚鍋,鍕掑厠璨 / 鍕掑厠鐚獿猫k猫m膩o,Spark Pok鑼卪on,electric,,"['Rivalry', 'Intimidate', 'Guts']",50.0,0.9,30.5,363,60,85,49,60,49,60,100.0,120,4,0,5120,1059860,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/4/49/404Luxio.png
405,Luxray,Rentorar閵夊厒閵夊牄鍎甸妷,鍊惔璨 / 浼︾惔鐚獿煤nq铆nm膩o,Gleam Eyes Pok鑼卪on,electric,,"['Rivalry', 'Intimidate', 'Guts']",50.0,1.4,42.0,523,80,120,79,95,79,70,70.0,45,4,0,5120,1059860,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/a/a7/405Luxray.png
406,Budew,Subomie閵堝箍鍎ㄩ妷鐔村厳,鍚緸鑻 / 鍚緸鑻濰谩nxi奴b膩o,Bud Pok鑼卪on,grass,poison,"['Natural Cure', 'Poison Point', 'Leaf Guard']",50.0,0.2,1.2,280,40,30,35,50,70,55,70.0,255,4,0,5120,1059860,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/d/d3/406Budew.png/600px-406Budew.png
407,Roserade,Roserade閵夊仱閵夊亞閵,缇呯挡闆锋湹 / 缃椾笣闆锋湹Lu贸s墨l茅idu菕,Bouquet Pok鑼卪on,grass,poison,"['Natural Cure', 'Poison Point', 'Technician']",50.0,0.9,14.5,515,60,70,65,125,105,90,70.0,75,4,0,5120,1059860,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/0/05/407Roserade.png
408,Cranidos,Zugaidos閵堟亽鍋撻妶銈冨剶閵,闋搵榫 / 澶寸洊榫橳贸ug脿il贸ng,Head Butt Pok鑼卪on,rock,,"['Mold Breaker', 'Sheer Force']",88.1,0.9,31.5,350,67,125,40,30,30,58,70.0,45,4,0,7680,600000,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/c/cd/408Cranidos.png/600px-408Cranidos.png
409,Rampardos,Rampald閵夆斂鍎妷鎴欏劮閵,鎴版榫 / 鎴樻榫橺h脿nchu铆l贸ng,Head Butt Pok鑼卪on,rock,,"['Mold Breaker', 'Sheer Force']",88.1,1.6,102.5,495,97,165,60,65,50,58,70.0,45,4,0,7680,600000,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/8/8a/409Rampardos.png
410,Shieldon,Tatetops閵堣￥鍎愰妷鍫涘劊閵,鐩剧敳榫 / 鐩剧敳榫橠霉nji菐l贸ng,Shield Pok鑼卪on,rock,steel,"['Sturdy', 'Soundproof']",88.1,0.5,57.0,350,30,42,118,42,88,30,70.0,45,4,0,7680,600000,0.25,4.0,0.25,0.0,4.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,https://media.52poke.com/wiki/thumb/e/e2/410Shieldon.png/600px-410Shieldon.png
411,Bastiodon,Torideps閵夊牄鍎堕妷鍥ュ劊閵,璀峰煄榫 / 鎶ゅ煄榫橦霉ch茅ngl贸ng,Shield Pok鑼卪on,rock,steel,"['Sturdy', 'Soundproof']",88.1,1.3,149.5,495,60,52,168,47,138,30,70.0,45,4,0,7680,600000,0.25,4.0,0.25,0.0,4.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,https://media.52poke.com/wiki/b/bc/411Bastiodon.png
412,Burmy,Minomucchi閵夌喆鍎欓妷鐘剭閵,绲愯崏鍏 / 缁撹崏鍎縅i茅c菐o'茅r,Bagworm Pok鑼卪on,bug,,"['Shed Skin', 'Overcoat']",50.0,0.2,3.4,224,40,29,45,29,45,36,70.0,120,4,0,3840,1000000,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/c/c9/412Burmy-Plant.png/600px-412Burmy-Plant.png
413,Wormadam,Minomadam (kusaki No Mino)閵夌喆鍎欓妷鐐剦閵,绲愯崏璨村│ / 缁撹崏璐靛Ji茅c菐ogu矛f霉,Bagworm Pok鑼卪on,bug,grass,"['Anticipation', 'Overcoat']",0.0,0.5,6.5,424,60,69,95,69,95,36,70.0,45,4,0,3840,1000000,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/d/db/413Wormadam-Plant.png
414,Mothim,Gamale閵堝厳閵壜板亞閵,绱冲＋铔 / 缁呭＋铔維h膿nsh矛'茅,Moth Pok鑼卪on,bug,flying,"['Swarm', 'Tinted Lens']",100.0,0.9,23.3,424,70,94,50,94,50,66,70.0,45,4,0,3840,1000000,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/1/18/414Mothim.png
415,Combee,Mitsuhoney閵夌喆鍎庨妷蹇嬪剸閵,涓夎湝铚 / 涓夎湝铚係膩nm矛f膿ng,Tiny Bee Pok鑼卪on,bug,flying,"['Honey Gather', 'Hustle']",88.1,0.3,5.5,244,30,30,42,30,42,70,70.0,120,4,0,3840,1059860,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/b/b6/415Combee.png
416,Vespiquen,Beequen閵夋挶鍏楅妶鍋嗛妷,铚傚コ鐜 / 铚傚コ鐜婩膿ngn菤w谩ng,Beehive Pok鑼卪on,bug,flying,"['Pressure', 'Unnerve']",0.0,1.2,38.5,474,70,80,102,80,102,40,70.0,45,4,0,3840,1059860,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/2/2c/416Vespiquen.png
417,Pachirisu,Pachirisu閵夋垯鍎婇妷鍋,甯曞鍒╄尣 / 甯曞鍒╁吂P脿q铆l矛z墨,EleSquirrel Pok鑼卪on,electric,,"['Run Away', 'Pickup', 'Volt Absorb']",50.0,0.4,3.9,405,60,45,70,45,90,95,100.0,200,4,0,2560,1000000,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/f/f4/417Pachirisu.png/600px-417Pachirisu.png
418,Buizel,Buoysel閵夋牓鍋嗛妶绗哄劮,娉冲湀榧 / 娉冲湀榧琘菕ngqu膩ny貌u,Sea Weasel Pok鑼卪on,water,,"['Swift Swim', 'Water Veil']",50.0,0.7,29.5,330,55,65,35,60,30,85,70.0,190,4,0,5120,1000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/8/83/418Buizel.png/600px-418Buizel.png
419,Floatzel,Floazel閵夋洏鍎归妷绗哄仹閵,娴經榧 / 娴綔榧現煤qi谩ny貌u,Sea Weasel Pok鑼卪on,water,,"['Swift Swim', 'Water Veil']",50.0,1.1,33.5,495,85,105,55,85,50,115,70.0,75,4,0,5120,1000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,https://media.52poke.com/wiki/b/bf/419Floatzel.png
420,Cherubi,Cherinbo閵変降鍋嬮妷鍏傞妷,娅昏姳瀵 / 妯辫姳瀹漎墨nghu膩b菐o,Cherry Pok鑼卪on,grass,,['Chlorophyll'],50.0,0.4,3.3,275,45,35,45,62,53,35,70.0,190,4,0,5120,1000000,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/a/a7/420Cherubi.png
421,Cherrim,Cherrim閵変降鍋嬮妷鍎,娅昏姳鍏 / 妯辫姳鍎縔墨nghu膩'茅r,Blossom Pok鑼卪on,grass,,['Flower Gift'],50.0,0.5,9.3,450,70,60,70,87,78,85,70.0,75,4,0,5120,1000000,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/2/25/421Cherrim-Overcast.png
422,Shellos,Karanakushi閵堝劦閵夊ǹ鍋楅妶,鐒℃娴峰厰 / 鏃犲３娴峰厰W煤k茅h菐it霉,Sea Slug Pok鑼卪on,water,,"['Sticky Hold', 'Storm Drain', 'Sand Force']",50.0,0.3,6.3,325,76,48,48,57,62,34,70.0,190,4,0,5120,1000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/7/71/422Shellos-West.png/600px-422Shellos-West.png
423,Gastrodon,Tritodon閵夊牄鍎堕妷鍫涘剶閵,娴峰厰鐛 / 娴峰厰鍏紿菐it霉sh貌u,Sea Slug Pok鑼卪on,water,ground,"['Sticky Hold', 'Storm Drain', 'Sand Force']",50.0,0.9,29.9,475,111,83,68,92,82,39,70.0,75,4,0,5120,1000000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/1/1d/423Gastrodon-West.png
424,Ambipom,Eteboth閵堛劊鍎愰妷婧垮厳閵,闆欏熬鎬墜 / 鍙屽熬鎬墜Shu膩ngw臎igu脿ish菕u,Long Tail Pok鑼卪on,normal,,"['Technician', 'Pickup', 'Skill Link']",50.0,1.2,20.3,482,75,100,66,60,66,115,100.0,45,4,0,5120,800000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/8/86/424Ambipom.png
425,Drifloon,Fuwante閵夋洏鍎婚妷鐐藉剱,椋勯鐞 / 椋橀鐞働i膩opi膩oqi煤,Balloon Pok鑼卪on,ghost,flying,"['Aftermath', 'Unburden', 'Flare Boost']",50.0,0.4,1.2,348,90,50,34,60,44,70,70.0,125,4,0,7680,1640000,0.0,0.0,1.0,0.5,0.0,2.0,0.25,2.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,https://media.52poke.com/wiki/e/eb/425Drifloon.png
426,Drifblim,Fuwaride閵夋洏鍎婚妷鈹垮亞閵,闅ㄩⅷ鐞 / 闅忛鐞僑u铆f膿ngqi煤,Blimp Pok鑼卪on,ghost,flying,"['Aftermath', 'Unburden', 'Flare Boost']",50.0,1.2,15.0,498,150,80,44,90,54,80,70.0,60,4,0,7680,1640000,0.0,0.0,1.0,0.5,0.0,2.0,0.25,2.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,https://media.52poke.com/wiki/7/71/426Drifblim.png
427,Buneary,Mimirol閵夌喆鍎妷鍎,鎹叉嵅鑰 / 鍗峰嵎鑰矹u菐nju菐n'臎r,Rabbit Pok鑼卪on,normal,,"['Run Away', 'Klutz', 'Limber']",50.0,0.4,5.5,350,55,66,44,44,56,85,0.0,190,4,0,5120,1000000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/a/a7/427Buneary.png/600px-427Buneary.png
428,Lopunny,Mimilop閵夌喆鍎妷鍎嶉妷,闀疯冲厰 / 闀胯冲厰Ch谩ng'臎rt霉,Rabbit Pok鑼卪on,normal,,"['Cute Charm', 'Klutz', 'Limber']",50.0,1.2,33.3,580,65,136,94,54,96,135,140.0,60,4,0,5120,1000000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/c/c9/428Lopunny.png/600px-428Lopunny.png
429,Mismagius,Mumargi閵夌姰鍋婇妷鐐厳閵,澶㈠榄 / 姊﹀榄擬猫ngy膩om贸,Magical Pok鑼卪on,ghost,,['Levitate'],50.0,0.9,4.4,495,60,60,60,105,105,105,35.0,45,4,0,6400,800000,0.0,0.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,https://media.52poke.com/wiki/b/b4/429Mismagius.png
430,Honchkrow,Dongkarasu閵夊鍏傞妶鍎甸妶,鐑忛磯闋牠 / 涔岄甫澶村ごW奴y膩t贸ut贸u,Big Boss Pok鑼卪on,dark,flying,"['Insomnia', 'Super Luck', 'Moxie']",50.0,0.9,27.3,505,100,125,52,105,52,71,35.0,30,4,0,5120,1059860,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,0.0,2.0,1.0,0.5,2.0,https://media.52poke.com/wiki/4/46/430Honchkrow.png
431,Glameow,Nyarmar閵夊鍎妷鍎妷,榄呭姏鍠 / 榄呭姏鍠礛猫il矛mi膩o,Catty Pok鑼卪on,normal,,"['Limber', 'Own Tempo', 'Keen Eye']",24.6,0.5,3.9,310,49,55,42,42,37,85,70.0,190,4,0,5120,800000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/2/26/431Glameow.png/600px-431Glameow.png
432,Purugly,Bunyatto閵夋牓鍎栭妷锝冨剭閵,鏉辨柦鍠 / 涓滄柦鍠礑艒ngsh墨mi膩o,Tiger Cat Pok鑼卪on,normal,,"['Thick Fat', 'Own Tempo', 'Defiant']",24.6,1.0,43.8,452,71,82,64,64,59,112,70.0,75,4,0,5120,800000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/8/80/432Purugly.png
433,Chingling,Lisyan閵夊厳閵堟灚鍎妷,閳撮惡闊 / 閾冮摏鍝峀铆ngd膩ngxi菐ng,Bell Pok鑼卪on,psychic,,['Levitate'],50.0,0.2,0.6,285,45,30,50,65,50,45,70.0,120,4,0,6400,800000,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,https://media.52poke.com/wiki/thumb/e/ed/433Chingling.png/600px-433Chingling.png
434,Stunky,Skunpuu閵堝箍鍋掗妷鐐藉劊閵,鑷棘鍣 / 鑷棘鍣桟h貌uy貌up奴,Skunk Pok鑼卪on,poison,dark,"['Stench', 'Aftermath', 'Keen Eye']",50.0,0.4,19.2,329,63,63,47,41,41,74,70.0,225,4,0,5120,1000000,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,https://media.52poke.com/wiki/thumb/7/75/434Stunky.png/600px-434Stunky.png
435,Skuntank,Skutank閵堝箍鍋掗妶瑁ゅ厒閵,鍧﹀厠鑷棘 / 鍧﹀厠鑷棘T菐nk猫ch貌uy貌u,Skunk Pok鑼卪on,poison,dark,"['Stench', 'Aftermath', 'Keen Eye']",50.0,1.0,38.0,479,103,93,67,71,61,84,70.0,60,4,0,5120,1000000,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,https://media.52poke.com/wiki/b/bc/435Skuntank.png
436,Bronzor,Dohmirror閵夊鍏楅妷鐔村劦閵,閵呴彙鎬 / 閾滈暅鎬猅贸ngj矛nggu脿i,Bronze Pok鑼卪on,steel,psychic,"['Levitate', 'Heatproof', 'Heavy Metal']",,0.5,60.5,300,57,24,86,24,86,23,70.0,255,4,0,5120,1000000,0.5,1.0,0.5,0.0,2.0,0.5,1.0,2.0,0.5,2.0,1.0,0.5,1.0,0.25,0.5,0.5,2.0,0.5,https://media.52poke.com/wiki/c/c1/436Bronzor.png
437,Bronzong,Dohtakun閵夊鍏楅妶瑁ゅ仐閵,闈掗妳閻 / 闈掗摐閽烸墨ngt贸ngzh艒ng,Bronze Bell Pok鑼卪on,steel,psychic,"['Levitate', 'Heatproof', 'Heavy Metal']",,1.3,187.0,500,67,89,116,79,116,33,70.0,90,4,0,5120,1000000,0.5,1.0,0.5,0.0,2.0,0.5,1.0,2.0,0.5,2.0,1.0,0.5,1.0,0.25,0.5,0.5,2.0,0.5,https://media.52poke.com/wiki/a/aa/437Bronzong.png
438,Bonsly,Usohachi閵堬负鍋ㄩ妷蹇嬪剨,鐩嗘墠鎬 / 鐩嗘墠鎬狿茅nc谩igu脿i,Bonsai Pok鑼卪on,rock,,"['Sturdy', 'Rock Head', 'Rattled']",50.0,0.5,15.0,290,50,80,95,10,45,10,70.0,255,4,0,5120,1000000,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/e/e2/438Bonsly.png/600px-438Bonsly.png
439,Mime Jr.,Manene閵夌偑鍎橀妷,榄斿凹灏 / 榄斿凹灏糓贸n铆n铆,Mime Pok鑼卪on,psychic,fairy,"['Soundproof', 'Filter', 'Technician']",50.0,0.6,13.0,310,20,25,45,70,90,60,70.0,145,4,0,6400,1000000,1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,https://media.52poke.com/wiki/thumb/5/5a/439Mime_Jr..png/600px-439Mime_Jr..png
440,Happiny,Pinpuku閵夋柣鍏傞妷妞煎仐,灏忕铔 / 灏忕铔媂i菐of煤d脿n,Playhouse Pok鑼卪on,normal,,"['Natural Cure', 'Serene Grace', 'Friend Guard']",0.0,0.6,24.4,220,100,5,5,15,65,30,140.0,130,4,0,10240,800000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/2/27/440Happiny.png/600px-440Happiny.png
441,Chatot,Perap閵夋哎鍎甸妷鍐﹀劊,鑱掑櫔槌 / 鑱掑櫔楦烥u艒z脿oni菐o,Music Note Pok鑼卪on,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",50.0,0.5,1.9,411,76,65,45,92,42,91,35.0,30,4,0,5120,1059860,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/b/bf/441Chatot.png/600px-441Chatot.png
442,Spiritomb,Mikaruge閵夌喆鍋掗妷鍋,鑺卞博鎬 / 鑺卞博鎬狧u膩y谩ngu脿i,Forbidden Pok鑼卪on,ghost,dark,"['Pressure', 'Infiltrator']",50.0,1.0,108.0,485,50,92,108,92,108,35,70.0,100,4,0,7680,1000000,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,https://media.52poke.com/wiki/8/8e/442Spiritomb.png
443,Gible,Fukamaru閵夋洏鍋掗妷鐐劮,鍦撻櫢榀 / 鍦嗛檰椴╕u谩nl霉sh膩,Land Shark Pok鑼卪on,dragon,ground,"['Sand Veil', 'Rough Skin']",50.0,0.7,20.5,300,58,70,45,40,45,42,70.0,45,4,0,10240,1250000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,https://media.52poke.com/wiki/6/68/443Gible.png
444,Gabite,Gabite閵堝剾閵堛們鍎,灏栫墮闄搁瘖 / 灏栫墮闄嗛波Ji膩ny谩l霉sh膩,Cave Pok鑼卪on,dragon,ground,"['Sand Veil', 'Rough Skin']",50.0,1.4,56.0,410,68,90,65,50,55,82,70.0,45,4,0,10240,1250000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,https://media.52poke.com/wiki/9/9d/444Gabite.png
445,Garchomp,Gaburias閵堝劉閵夊亜閵,鐑堝挰闄搁瘖 / 鐑堝挰闄嗛波Li猫y菐ol霉sh膩,Mach Pok鑼卪on,dragon,ground,"['Sand Veil', 'Rough Skin']",50.0,1.9,95.0,700,108,170,115,120,95,92,70.0,45,4,0,10240,1250000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,https://media.52poke.com/wiki/thumb/f/fa/445Garchomp.png/600px-445Garchomp.png
446,Munchlax,Gonbe閵堟番鍏傞妷,灏忓崱姣旂嵏 / 灏忓崱姣斿吔Xi菐ok菐b菒sh貌u,Big Eater Pok鑼卪on,normal,,"['Pickup', 'Thick Fat', 'Gluttony']",88.1,0.6,105.0,390,135,85,40,40,85,5,70.0,50,4,0,10240,1250000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/b/b2/446Munchlax.png/600px-446Munchlax.png
447,Riolu,Riolu閵夊亼閵,鍒╂瓙璺 / 鍒╂璺疞矛'艒ul霉,Emanation Pok鑼卪on,fighting,,"['Steadfast', 'Inner Focus', 'Prankster']",88.1,0.7,20.2,285,40,70,40,35,40,60,70.0,75,4,0,6400,1059860,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,https://media.52poke.com/wiki/thumb/a/a2/447Riolu.png/600px-447Riolu.png
448,Lucario,Lucario閵夊亽閵夊亼,璺崱鍒╂瓙 / 璺崱鍒╂L霉k菐l矛'艒u,Aura Pok鑼卪on,fighting,steel,"['Steadfast', 'Inner Focus', 'Justified']",88.1,1.2,54.0,625,70,145,88,140,70,112,70.0,45,4,0,6400,1059860,0.5,2.0,1.0,0.0,2.0,0.25,0.25,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,https://media.52poke.com/wiki/thumb/d/d7/448Lucario.png/600px-448Lucario.png
449,Hippopotas,Hippopotas閵夋帇鍎╅妷婵勫仾閵,娌欐渤棣 / 娌欐渤椹琒h膩h茅m菐,Hippo Pok鑼卪on,ground,,"['Sand Stream', 'Sand Force']",50.0,0.8,49.5,330,68,72,78,38,42,32,70.0,140,4,0,7680,1250000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/a/ab/449Hippopotas.png
450,Hippowdon,Kabaldon閵堝剾閵夊剶閵,娌抽Μ鐛 / 娌抽┈鍏紿茅m菐sh貌u,Heavyweight Pok鑼卪on,ground,,"['Sand Stream', 'Sand Force']",50.0,2.0,300.0,525,108,112,118,68,72,47,70.0,60,4,0,7680,1250000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/5/5f/450Hippowdon.png/600px-450Hippowdon.png
451,Skorupi,Scorupi閵堝箍鍋濋妷鍎,閴楀熬锠 / 閽冲熬铦嶲i谩nw臎ixi膿,Scorpion Pok鑼卪on,poison,bug,"['Battle Armor', 'Sniper', 'Keen Eye']",50.0,0.8,12.0,330,40,50,90,30,55,65,70.0,120,4,0,5120,1250000,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/4/47/451Skorupi.png
452,Drapion,Dorapion閵夊鍎甸妷鏂诲亼閵,榫嶇帇锠 / 榫欑帇铦嶭贸ngw谩ngxi膿,Ogre Scorp Pok鑼卪on,poison,dark,"['Battle Armor', 'Sniper', 'Keen Eye']",50.0,1.3,61.5,500,70,90,110,60,75,95,70.0,45,4,0,5120,1250000,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,https://media.52poke.com/wiki/thumb/1/13/452Drapion.png/600px-452Drapion.png
453,Croagunk,Gureggru閵堣埇鍎搁妷鍐﹀仒閵,涓嶈壇铔 / 涓嶈壇铔橞霉li谩ngw膩,Toxic Mouth Pok鑼卪on,poison,fighting,"['Anticipation', 'Dry Skin', 'Poison Touch']",50.0,0.7,23.0,300,48,61,40,61,40,50,100.0,140,4,0,2560,1000000,1.0,0.5,2.0,0.5,2.0,0.5,0.25,1.0,1.0,1.0,1.0,0.5,1.0,4.0,1.0,1.0,0.5,1.0,https://media.52poke.com/wiki/f/fa/453Croagunk.png
454,Toxicroak,Dokurog閵夊鍋楅妷鍎嶉妶,姣掗铔 / 姣掗铔橠霉k奴w膩,Toxic Mouth Pok鑼卪on,poison,fighting,"['Anticipation', 'Dry Skin', 'Poison Touch']",50.0,1.3,44.4,490,83,106,65,86,65,85,70.0,75,4,0,5120,1000000,1.0,0.5,2.0,0.5,2.0,0.5,0.25,1.0,1.0,1.0,1.0,0.5,1.0,4.0,1.0,1.0,0.5,1.0,https://media.52poke.com/wiki/thumb/8/8b/454Toxicroak.png/600px-454Toxicroak.png
455,Carnivine,Muskippa閵夌偑鍋ｉ妶鍎嶉妷,灏栫墮绫 / 灏栫墮绗糐i膩ny谩l贸ng,Bug Catcher Pok鑼卪on,grass,,['Levitate'],50.0,1.4,27.0,454,74,100,72,90,72,46,70.0,200,4,0,6400,1250000,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/d/df/455Carnivine.png/600px-455Carnivine.png
